"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&cc=TW"
"Access Time","Tue 2020-04-14 06:44:06 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","cc","TW"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00849"
"Records Found","136"
"Records Returned","136"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"96257","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 6","","","8","Early Pleistocene","","2.588","0.781","32679"
"96258","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 7","","","28","Early Pleistocene","","2.588","0.781","32679"
"96259","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 8","","","28","Early Pleistocene","","2.588","0.781","32679"
"96260","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 9","","","3","Early Pleistocene","","2.588","0.781","32679"
"96261","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 10","","","2","Early Pleistocene","","2.588","0.781","32679"
"96262","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 11","","","4","Early Pleistocene","","2.588","0.781","32679"
"96263","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 12","","","1","Early Pleistocene","","2.588","0.781","32679"
"96264","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 13","","","10","Early Pleistocene","","2.588","0.781","32679"
"96265","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 14","","","13","Early Pleistocene","","2.588","0.781","32679"
"96266","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 15","","","2","Early Pleistocene","","2.588","0.781","32679"
"96267","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 16","","","7","Early Pleistocene","","2.588","0.781","32679"
"96268","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 17","","","10","Early Pleistocene","","2.588","0.781","32679"
"96269","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 18","","","9","Early Pleistocene","","2.588","0.781","32679"
"96270","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 19","","","13","Early Pleistocene","","2.588","0.781","32679"
"96271","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 20","","","23","Early Pleistocene","","2.588","0.781","32679"
"96272","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 21","","","22","Early Pleistocene","","2.588","0.781","32679"
"96273","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 22","","","19","Early Pleistocene","","2.588","0.781","32679"
"96274","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 23","","","2","Early Pleistocene","","2.588","0.781","32679"
"96275","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 24","","","3","Early Pleistocene","","2.588","0.781","32679"
"96276","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 25","","","34","Early Pleistocene","","2.588","0.781","32679"
"96277","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 26","","","3","Early Pleistocene","","2.588","0.781","32679"
"96278","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 27","","","2","Early Pleistocene","","2.588","0.781","32679"
"96279","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 28","","","28","Early Pleistocene","","2.588","0.781","32679"
"96280","col","Toukoshan","120.716667","24.466667","T'ung Hsiao, bed 29","","","2","Early Pleistocene","","2.588","0.781","32679"
"96336","col","""Riukiu Limestone""","120.300003","22.616667","Hanpeizan","","","20","Early Pleistocene","","2.588","0.781","32703"
"96337","col","""Riukiu Limestone""","120.300003","22.616667","Kotobuki-yama","","","4","Early Pleistocene","","2.588","0.781","32703"
"123203","col","Tunghsiao","120.699997","24.566668","Beshiatun","","","6","Pleistocene","","2.588","0.0117","39432"
"123204","col","Lungkang","120.750000","24.600000","Lungkang","","","2","Pleistocene","","2.588","0.0117","39432"
"149175","col","","122.066940","24.578611","Dasi Fishing Port- Yilan County","","","31","Holocene","","0.0117","0","47760"
"149176","col","","119.941666","22.674999","Nanfang-au Fishing Port","","","36","Holocene","","0.0117","0","47760"
"153825","col","Erchngchi","120.550552","23.521111","Jhuci","","","1","Pleistocene","","2.588","0.0117","49844"
"153826","col","Tunghsiao","120.787430","24.614038","Houlong","","Houloung","2","Pleistocene","","2.588","0.0117","49894"
"153827","col","Liuchungchi","120.461372","23.124926","Yujing","","","2","Piacenzian","","3.6","2.588","49844"
"153828","col","Kueichulin","120.716942","24.250000","Fengyuan","","","1","Zanclean","","5.333","3.6","49844"
"153829","col","Keuichulin","120.906380","24.489719","Tai-an","","Taian","1","Zanclean","","5.333","3.6","49844"
"153830","col","Erijou","121.290428","24.883732","Dasi","","","1","Messinian","","7.246","5.333","49844"
"153831","col","Toukoushan","120.679169","24.395279","Yuanli","","","1","Piacenzian","","3.6","2.588","49904"
"168240","col","","120.695557","22.035833","Whaling Survey","","","1","Holocene","","0.0117","0","55093"
"168593","col","","122.233612","24.181389","Extant Collection","","","1","Holocene","","0.0117","0","55158"
"186807","col","Szekou","120.720001","22.018000","Sankou, Hengchun Peninsula","","","4","Late Pleistocene","","0.126","0.0117","62648"
"193360","col","","121.500000","22.633333","Lutao, core LD-1","","","1","Holocene","","0.0117","0","65704"
"193361","col","","121.500000","22.633333","Lutao, core LD-1, 7.5 yr BP","","","1","Holocene","","0.0117","0","65704"
"193362","col","","121.500000","22.633333","Lutao, core LD-1, 5.6 yr BP","","","1","Holocene","","0.0117","0","65704"
"193363","col","","121.500000","22.633333","Lutao, core LD-1, 5.3 yr BP","","","1","Holocene","","0.0117","0","65704"
"193364","col","","121.500000","22.633333","Lutao, core LD-2, 8.6-8.2 yr BP","","","1","Holocene","","0.0117","0","65704"
"193365","col","","121.500000","22.633333","Lutao, core LD-2, 6.9 yr BP","","","1","Holocene","","0.0117","0","65704"
"193366","col","","121.500000","22.633333","Lutao, core LD-2, 5.5 yr BP","","","1","Holocene","","0.0117","0","65704"
"204401","col","","120.656082","24.469967","Kaiko, north","","Haikou","1","Pleistocene","","2.588","0.0117","61680"
"204438","col","Ryukyu","120.446823","22.975203","Takangshans","","Takangshan","1","Pleistocene","","2.588","0.0117","61674"
"204453","col","Kaizan","120.927101","23.884365","Shan-tzu-chiao","","Shantzuchiao","1","Miocene","","23.03","5.333","61674"
"204454","col","Karisan","121.796753","24.563641","Rodo, south","","","1","Eocene","","56","33.9","61674"
"204460","col","Kansirei","120.501663","23.335833","Kuan-tzu-ling Hot Spring","","","1","Miocene","","23.03","5.333","61674"
"208200","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-1","","","9","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208234","col","","120.199997","22.983334","Syatin, Tainan","","","9","Neogene","","23.03","2.588","71931"
"208295","col","","120.383331","22.683332","Takao","","","1","Neogene","","23.03","2.588","71943"
"208297","col","Nan-Chuang","120.866669","23.750000","Ba-Chang River, Chiayi","","","1","Miocene","","23.03","5.333","71944"
"208352","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-2","","","16","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208353","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-3","","","19","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208354","col","","120.650002","24.033333","Chungliao Fm., TK-4","","","20","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208359","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-5","","","17","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208360","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-6","","","17","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208361","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-7","","","15","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208362","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-9","","","19","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208363","col","Chungliao","120.650002","24.033333","Chungliao Fm., TK-11","","","16","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208528","col","","120.650002","24.033333","Chungliao Fm., Sample No. 94","","","5","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208529","col","","120.650002","24.033333","Chungliao Fm., Sample No. 84","","","5","Early Eocene","Middle Eocene","55.8","37.2","71925"
