"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=Psittacosaurus"
"Access Time","Tue 2020-04-14 08:51:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Psittacosaurus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0132"
"Records Found","57"
"Records Returned","57"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"60365","col","","85.666702","46.099998","SCDP Urho psittacosaur site","","","1","Aptian","Early Albian","125","109","17360"
"62323","col","","106.028053","38.963333","North Alashan desert, Ninghsia","","","1","Late Cretaceous","","100.5","66","18019"
"70140","col","Öösh","102.733299","44.241501","northeastern end, Öösh locality (AMNH/IGM)","","","1","Early Cretaceous","","145","100.5","23567"
"73376","col","Yixian","120.979401","41.601391","Shangyuan, Lujiatun (JZMP)","","","1","Early Aptian","","125.45","122.46","24637"
"73438","col","Yixian","120.764221","41.783817","Beipiao City psittacosaur site (PROXY)","","P. major type, Lujiatun","1","Late Barremian","Early Aptian","130","122.46","24647"
"75472","col","Yixian","121.248100","41.533611","Lui Tai, Yixian (IVPP)","","","1","Early Aptian","","125.45","122.46","25466"
"75511","col","Yixian","120.951370","41.584137","Lujiatun village 3, Yixian (ZMNH)","","","1","Early Aptian","","125.45","122.46","25498"
"77191","col","Dzunbain","102.416664","42.450001","Khovboor (PIN coll. 3101) [SMPE]","","Guchin Us Somon; Khoobur; Khobur; Khoboor; Hobur; Höövör; Khoboor, Guchinus","1","Aptian","Albian","125","100.5","30554"
"79703","col","Öösh","102.733299","44.241501","Ulan Oshih (PIN coll. 753) [MPE]","","Oshi Nuru","1","Early Cretaceous","","145","100.5","14387"
"83249","col","Yixian","120.951370","41.584137","Lujiatun village 4, Beipiao (CAGS)","","","1","Early Aptian","","125.45","122.46","58629"
"85296","col","Jingchuan","107.262779","38.927502","Otog Sumu (bed 5)","","Otog Qi, Chabu Sumu, Chaibu Sumi, SCDP","1","Early Cretaceous","","145","100.5","38777"
"88097","col","Dushihin","101.733887","45.395000","Builjasutuin-Khuduk (SMPE)","","Soviet-Mongolian Paleontological Expedition, Buylyasutuin-Khuduk","1","Aptian","","125","113","29599"
"93886","col","Khok Kruat","102.933296","16.383329","Nam Phong river","","","1","Aptian","Albian","125","100.5","31918"
"97753","col","Bayan Gobi","104.065002","40.994999","southwest of Suhongtu","","","1","Aptian","","125","113","33412"
"164560","col","Khuren Dukh","108.446671","45.849998","Khuren Dukh III [HMNS-GIN]","","KD-III","1","Middle Albian","Late Albian","109","99.6","42289"
"167303","col","Ilek","88.318611","55.876667","Ust' Kolba quarry","","LMCCE 001, UKo","1","Barremian","Aptian","129.4","113","54584"
"167304","col","Ilek","88.093056","55.973057","Smolenskii Yar","","SmY","1","Barremian","Aptian","129.4","113","54584"
"189413","col","","109.922005","44.461601","Tsakhurt [SMPE/SMGE]","","Tsakhiurt","1","Late Aptian","Albian","122.46","100.5","33967"
